min_time = 6255; max_time = 6255; average_time = 6255; current_time = 6255; 
min_time = 1637; max_time = 6255; average_time = 3946; current_time = 1637; 
min_time = 4; max_time = 6255; average_time = 2632; current_time = 4; 
min_time = 4; max_time = 6255; average_time = 2571; current_time = 2389; 
min_time = 4; max_time = 6255; average_time = 2058; current_time = 5; 
min_time = 4; max_time = 6255; average_time = 1786; current_time = 428; 
min_time = 4; max_time = 6255; average_time = 1534; current_time = 24; 
min_time = 4; max_time = 27833; average_time = 4821; current_time = 27833; 
min_time = 4; max_time = 27833; average_time = 5661; current_time = 12378; 
min_time = 4; max_time = 27833; average_time = 5096; current_time = 12; 
min_time = 4; max_time = 27833; average_time = 4633; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 4249; current_time = 23; 
min_time = 4; max_time = 27833; average_time = 3922; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 3644; current_time = 23; 
min_time = 4; max_time = 27833; average_time = 3404; current_time = 51; 
min_time = 4; max_time = 27833; average_time = 3193; current_time = 24; 
min_time = 4; max_time = 27833; average_time = 3007; current_time = 41; 
min_time = 4; max_time = 27833; average_time = 2841; current_time = 17; 
min_time = 4; max_time = 27833; average_time = 2793; current_time = 1921; 
min_time = 4; max_time = 27833; average_time = 2655; current_time = 34; 
min_time = 4; max_time = 27833; average_time = 2595; current_time = 1401; 
min_time = 4; max_time = 27833; average_time = 2542; current_time = 1437; 
min_time = 4; max_time = 27833; average_time = 2433; current_time = 26; 
min_time = 4; max_time = 27833; average_time = 2332; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2240; current_time = 27; 
min_time = 4; max_time = 27833; average_time = 2690; current_time = 13947; 
min_time = 4; max_time = 27833; average_time = 2590; current_time = 5; 
min_time = 4; max_time = 27833; average_time = 2499; current_time = 19; 
min_time = 4; max_time = 27833; average_time = 2439; current_time = 769; 
min_time = 4; max_time = 27833; average_time = 2363; current_time = 172; 
min_time = 4; max_time = 27833; average_time = 2288; current_time = 14; 
min_time = 4; max_time = 27833; average_time = 2247; current_time = 1003; 
min_time = 4; max_time = 27833; average_time = 2180; current_time = 27; 
min_time = 4; max_time = 27833; average_time = 2561; current_time = 15147; 
min_time = 4; max_time = 27833; average_time = 2491; current_time = 93; 
min_time = 4; max_time = 27833; average_time = 2492; current_time = 2517; 
min_time = 4; max_time = 27833; average_time = 2425; current_time = 23; 
min_time = 4; max_time = 27833; average_time = 2361; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2301; current_time = 22; 
min_time = 4; max_time = 27833; average_time = 2589; current_time = 13825; 
min_time = 4; max_time = 27833; average_time = 2526; current_time = 5; 
min_time = 4; max_time = 27833; average_time = 2467; current_time = 47; 
min_time = 4; max_time = 27833; average_time = 2410; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2355; current_time = 6; 
min_time = 4; max_time = 27833; average_time = 2303; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2253; current_time = 5; 
min_time = 4; max_time = 27833; average_time = 2207; current_time = 84; 
min_time = 4; max_time = 27833; average_time = 2161; current_time = 5; 
min_time = 4; max_time = 27833; average_time = 2118; current_time = 33; 
min_time = 4; max_time = 27833; average_time = 2076; current_time = 27; 
min_time = 4; max_time = 27833; average_time = 2035; current_time = 5; 
min_time = 4; max_time = 27833; average_time = 2008; current_time = 640; 
min_time = 4; max_time = 27833; average_time = 2005; current_time = 1828; 
min_time = 4; max_time = 27833; average_time = 2226; current_time = 13961; 
min_time = 4; max_time = 27833; average_time = 2212; current_time = 1440; 
min_time = 4; max_time = 27833; average_time = 2172; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2134; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2098; current_time = 4; 
min_time = 4; max_time = 27833; average_time = 2090; current_time = 1634; 
min_time = 4; max_time = 27833; average_time = 2055; current_time = 24; 
