min_time = 53; max_time = 53; average_time = 53; 
min_time = 6; max_time = 53; average_time = 29; 
min_time = 6; max_time = 53; average_time = 24; 
min_time = 6; max_time = 7153; average_time = 1806; 
min_time = 6; max_time = 8776; average_time = 3200; 
min_time = 6; max_time = 8776; average_time = 2671; 
min_time = 6; max_time = 8776; average_time = 2296; 
min_time = 6; max_time = 8776; average_time = 2012; 
min_time = 6; max_time = 13811; average_time = 3323; 
min_time = 6; max_time = 13811; average_time = 2999; 
min_time = 6; max_time = 13811; average_time = 2728; 
min_time = 6; max_time = 13811; average_time = 2574; 
min_time = 6; max_time = 13811; average_time = 2383; 
min_time = 6; max_time = 13811; average_time = 2549; 
min_time = 6; max_time = 13811; average_time = 2380; 
min_time = 6; max_time = 14127; average_time = 3115; 
min_time = 6; max_time = 14127; average_time = 3483; 
min_time = 6; max_time = 14379; average_time = 4088; 
min_time = 6; max_time = 14379; average_time = 3973; 
min_time = 6; max_time = 14379; average_time = 3775; 
min_time = 4; max_time = 14379; average_time = 3596; 
min_time = 4; max_time = 14379; average_time = 3433; 
min_time = 4; max_time = 14379; average_time = 3285; 
min_time = 4; max_time = 14379; average_time = 3713; 
min_time = 4; max_time = 14379; average_time = 3575; 
min_time = 4; max_time = 14379; average_time = 3614; 
min_time = 4; max_time = 14379; average_time = 3481; 
min_time = 4; max_time = 41699; average_time = 4846; 
min_time = 4; max_time = 41699; average_time = 4679; 
min_time = 4; max_time = 41699; average_time = 4963; 
min_time = 4; max_time = 41699; average_time = 4810; 
min_time = 4; max_time = 41699; average_time = 4659; 
min_time = 4; max_time = 41699; average_time = 4519; 
min_time = 4; max_time = 41699; average_time = 4386; 
min_time = 4; max_time = 41699; average_time = 4262; 
min_time = 4; max_time = 41699; average_time = 4144; 
min_time = 4; max_time = 41699; average_time = 4033; 
min_time = 4; max_time = 41699; average_time = 3927; 
min_time = 4; max_time = 41699; average_time = 3864; 
min_time = 4; max_time = 41699; average_time = 3801; 
min_time = 4; max_time = 41699; average_time = 3709; 
min_time = 4; max_time = 41699; average_time = 3621; 
min_time = 4; max_time = 41699; average_time = 3538; 
min_time = 4; max_time = 41699; average_time = 3757; 
min_time = 4; max_time = 41699; average_time = 3674; 
min_time = 4; max_time = 41699; average_time = 3594; 
min_time = 4; max_time = 41699; average_time = 3689; 
min_time = 4; max_time = 41699; average_time = 3628; 
min_time = 4; max_time = 41699; average_time = 3555; 
min_time = 4; max_time = 41699; average_time = 3484; 
