pattern_count = 1; pattern_len = 3; net_len = 5; min_time = 2; max_time = 5; average_time = 3; 
pattern_count = 1; pattern_len = 3; net_len = 10; min_time = 9; max_time = 17; average_time = 13; 
pattern_count = 1; pattern_len = 3; net_len = 15; min_time = 31; max_time = 52; average_time = 39; 
pattern_count = 1; pattern_len = 3; net_len = 20; min_time = 84; max_time = 124; average_time = 98; 
pattern_count = 1; pattern_len = 3; net_len = 25; min_time = 159; max_time = 184; average_time = 170; 
pattern_count = 1; pattern_len = 3; net_len = 30; min_time = 190; max_time = 264; average_time = 229; 
pattern_count = 1; pattern_len = 3; net_len = 35; min_time = 376; max_time = 488; average_time = 446; 
pattern_count = 1; pattern_len = 3; net_len = 40; min_time = 519; max_time = 764; average_time = 632; 
pattern_count = 1; pattern_len = 3; net_len = 45; min_time = 716; max_time = 1044; average_time = 925; 
pattern_count = 1; pattern_len = 3; net_len = 50; min_time = 1067; max_time = 1366; average_time = 1286; 
pattern_count = 1; pattern_len = 3; net_len = 55; min_time = 1393; max_time = 1887; average_time = 1603; 
pattern_count = 1; pattern_len = 3; net_len = 60; min_time = 1794; max_time = 2201; average_time = 1932; 
pattern_count = 1; pattern_len = 3; net_len = 65; min_time = 2423; max_time = 2539; average_time = 2480; 
pattern_count = 1; pattern_len = 3; net_len = 70; min_time = 2963; max_time = 3069; average_time = 3030; 
pattern_count = 1; pattern_len = 3; net_len = 75; min_time = 3707; max_time = 3824; average_time = 3749; 
pattern_count = 1; pattern_len = 3; net_len = 80; min_time = 4382; max_time = 4856; average_time = 4560; 
pattern_count = 1; pattern_len = 3; net_len = 85; min_time = 5324; max_time = 5389; average_time = 5355; 
pattern_count = 1; pattern_len = 3; net_len = 90; min_time = 6236; max_time = 6595; average_time = 6356; 
pattern_count = 1; pattern_len = 3; net_len = 95; min_time = 7258; max_time = 7508; average_time = 7362; 
pattern_count = 1; pattern_len = 3; net_len = 100; min_time = 8608; max_time = 9730; average_time = 9044; 

pattern_count = 1; pattern_len = 6; net_len = 5; min_time = 9; max_time = 12; average_time = 10; 
pattern_count = 1; pattern_len = 6; net_len = 10; min_time = 49; max_time = 62; average_time = 55; 
pattern_count = 1; pattern_len = 6; net_len = 15; min_time = 124; max_time = 188; average_time = 155; 
pattern_count = 1; pattern_len = 6; net_len = 20; min_time = 312; max_time = 434; average_time = 378; 
pattern_count = 1; pattern_len = 6; net_len = 25; min_time = 660; max_time = 800; average_time = 715; 
pattern_count = 1; pattern_len = 6; net_len = 30; min_time = 1237; max_time = 1346; average_time = 1279; 
pattern_count = 1; pattern_len = 6; net_len = 35; min_time = 1999; max_time = 2409; average_time = 2196; 
pattern_count = 1; pattern_len = 6; net_len = 40; min_time = 2981; max_time = 3832; average_time = 3287; 
pattern_count = 1; pattern_len = 6; net_len = 45; min_time = 3747; max_time = 4850; average_time = 4174; 
pattern_count = 1; pattern_len = 6; net_len = 50; min_time = 5061; max_time = 5441; average_time = 5198; 
