pattern_count = 1; pattern_len = 2; net_len = 3; min_time = 0; max_time = 0; average_time = 0; 
pattern_count = 1; pattern_len = 2; net_len = 8; min_time = 1; max_time = 1; average_time = 1; 
pattern_count = 1; pattern_len = 2; net_len = 13; min_time = 3; max_time = 6; average_time = 4; 
pattern_count = 1; pattern_len = 2; net_len = 18; min_time = 3; max_time = 6; average_time = 4; 
pattern_count = 1; pattern_len = 2; net_len = 23; min_time = 8; max_time = 16; average_time = 11; 
pattern_count = 1; pattern_len = 2; net_len = 28; min_time = 9; max_time = 18; average_time = 14; 
pattern_count = 1; pattern_len = 2; net_len = 33; min_time = 10; max_time = 11; average_time = 10; 
pattern_count = 1; pattern_len = 2; net_len = 38; min_time = 12; max_time = 15; average_time = 13; 
pattern_count = 1; pattern_len = 2; net_len = 43; min_time = 20; max_time = 34; average_time = 27; 
pattern_count = 1; pattern_len = 2; net_len = 48; min_time = 25; max_time = 40; average_time = 30; 
pattern_count = 1; pattern_len = 2; net_len = 53; min_time = 31; max_time = 48; average_time = 42; 
pattern_count = 1; pattern_len = 2; net_len = 58; min_time = 38; max_time = 77; average_time = 57; 
pattern_count = 1; pattern_len = 2; net_len = 63; min_time = 43; max_time = 143; average_time = 85; 
pattern_count = 1; pattern_len = 2; net_len = 68; min_time = 44; max_time = 111; average_time = 66; 
pattern_count = 1; pattern_len = 2; net_len = 73; min_time = 54; max_time = 72; average_time = 60; 
pattern_count = 1; pattern_len = 2; net_len = 78; min_time = 72; max_time = 140; average_time = 103; 
pattern_count = 1; pattern_len = 2; net_len = 83; min_time = 70; max_time = 97; average_time = 83; 
pattern_count = 1; pattern_len = 2; net_len = 88; min_time = 72; max_time = 104; average_time = 86; 
pattern_count = 1; pattern_len = 2; net_len = 93; min_time = 87; max_time = 181; average_time = 134; 
pattern_count = 1; pattern_len = 2; net_len = 98; min_time = 105; max_time = 193; average_time = 150; 

pattern_count = 1; pattern_len = 5; net_len = 3; min_time = 1; max_time = 2; average_time = 1; 
pattern_count = 1; pattern_len = 5; net_len = 8; min_time = 12; max_time = 24; average_time = 17; 
pattern_count = 1; pattern_len = 5; net_len = 13; min_time = 69; max_time = 111; average_time = 87; 
pattern_count = 1; pattern_len = 5; net_len = 18; min_time = 159; max_time = 212; average_time = 177; 
pattern_count = 1; pattern_len = 5; net_len = 23; min_time = 321; max_time = 437; average_time = 362; 
pattern_count = 1; pattern_len = 5; net_len = 28; min_time = 625; max_time = 664; average_time = 645; 
pattern_count = 1; pattern_len = 5; net_len = 33; min_time = 985; max_time = 1081; average_time = 1030; 
pattern_count = 1; pattern_len = 5; net_len = 38; min_time = 1553; max_time = 1785; average_time = 1632; 
pattern_count = 1; pattern_len = 5; net_len = 43; min_time = 2263; max_time = 2377; average_time = 2318; 
pattern_count = 1; pattern_len = 5; net_len = 48; min_time = 3320; max_time = 4370; average_time = 3637; 
pattern_count = 1; pattern_len = 5; net_len = 53; min_time = 4211; max_time = 4505; average_time = 4303; 
pattern_count = 1; pattern_len = 5; net_len = 58; min_time = 5567; max_time = 6011; average_time = 5733; 
pattern_count = 1; pattern_len = 5; net_len = 63; min_time = 7089; max_time = 7297; average_time = 7176; 
pattern_count = 1; pattern_len = 5; net_len = 68; min_time = 8794; max_time = 9435; average_time = 8969; 
pattern_count = 1; pattern_len = 5; net_len = 73; min_time = 11173; max_time = 11373; average_time = 11243; 
pattern_count = 1; pattern_len = 5; net_len = 78; min_time = 14445; max_time = 17019; average_time = 15283; 
pattern_count = 1; pattern_len = 5; net_len = 83; min_time = 17008; max_time = 17931; average_time = 17444; 
pattern_count = 1; pattern_len = 5; net_len = 88; min_time = 19517; max_time = 19972; average_time = 19705; 
pattern_count = 1; pattern_len = 5; net_len = 93; min_time = 22839; max_time = 24401; average_time = 23558; 
pattern_count = 1; pattern_len = 5; net_len = 98; min_time = 26647; max_time = 27491; average_time = 27016; 

pattern_count = 1; pattern_len = 8; net_len = 3; min_time = 2; max_time = 3; average_time = 2; 
pattern_count = 1; pattern_len = 8; net_len = 8; min_time = 32; max_time = 41; average_time = 35; 
pattern_count = 1; pattern_len = 8; net_len = 13; min_time = 129; max_time = 222; average_time = 157; 
pattern_count = 1; pattern_len = 8; net_len = 18; min_time = 369; max_time = 458; average_time = 404; 
pattern_count = 1; pattern_len = 8; net_len = 23; min_time = 815; max_time = 881; average_time = 850; 
pattern_count = 1; pattern_len = 8; net_len = 28; min_time = 1474; max_time = 1635; average_time = 1532; 
pattern_count = 1; pattern_len = 8; net_len = 33; min_time = 2461; max_time = 2528; average_time = 2499; 
pattern_count = 1; pattern_len = 8; net_len = 38; min_time = 3738; max_time = 4023; average_time = 3871; 
pattern_count = 1; pattern_len = 8; net_len = 43; min_time = 5545; max_time = 5908; average_time = 5715; 
pattern_count = 1; pattern_len = 8; net_len = 48; min_time = 7874; max_time = 8323; average_time = 8065; 
pattern_count = 1; pattern_len = 8; net_len = 53; min_time = 10553; max_time = 12707; average_time = 11187; 
pattern_count = 1; pattern_len = 8; net_len = 58; min_time = 13870; max_time = 14628; average_time = 14233; 
pattern_count = 1; pattern_len = 8; net_len = 63; min_time = 18027; max_time = 19122; average_time = 18402; 
pattern_count = 1; pattern_len = 8; net_len = 68; min_time = 22515; max_time = 23204; average_time = 22844; 
pattern_count = 1; pattern_len = 8; net_len = 73; min_time = 28012; max_time = 28339; average_time = 28186; 
pattern_count = 1; pattern_len = 8; net_len = 78; min_time = 33566; max_time = 34714; average_time = 34210; 
pattern_count = 1; pattern_len = 8; net_len = 83; min_time = 40730; max_time = 41784; average_time = 41315; 
pattern_count = 1; pattern_len = 8; net_len = 88; min_time = 48798; max_time = 49364; average_time = 49127; 
pattern_count = 1; pattern_len = 8; net_len = 93; min_time = 57774; max_time = 58294; average_time = 57966; 
pattern_count = 1; pattern_len = 8; net_len = 98; min_time = 67573; max_time = 68363; average_time = 68074; 

pattern_count = 1; pattern_len = 11; net_len = 3; min_time = 3; max_time = 5; average_time = 4; 
pattern_count = 1; pattern_len = 11; net_len = 8; min_time = 61; max_time = 70; average_time = 64; 
pattern_count = 1; pattern_len = 11; net_len = 13; min_time = 268; max_time = 365; average_time = 297; 
pattern_count = 1; pattern_len = 11; net_len = 18; min_time = 806; max_time = 944; average_time = 860; 
pattern_count = 1; pattern_len = 11; net_len = 23; min_time = 1578; max_time = 1730; average_time = 1645; 
pattern_count = 1; pattern_len = 11; net_len = 28; min_time = 2899; max_time = 3054; average_time = 2990; 
pattern_count = 1; pattern_len = 11; net_len = 33; min_time = 4776; max_time = 4904; average_time = 4826; 
pattern_count = 1; pattern_len = 11; net_len = 38; min_time = 7304; max_time = 7695; average_time = 7410; 
pattern_count = 1; pattern_len = 11; net_len = 43; min_time = 10613; max_time = 11115; average_time = 10860; 
pattern_count = 1; pattern_len = 11; net_len = 48; min_time = 14728; max_time = 15406; average_time = 14967; 
pattern_count = 1; pattern_len = 11; net_len = 53; min_time = 20199; max_time = 20739; average_time = 20420; 
pattern_count = 1; pattern_len = 11; net_len = 58; min_time = 26307; max_time = 27141; average_time = 26654; 
pattern_count = 1; pattern_len = 11; net_len = 63; min_time = 33839; max_time = 34621; average_time = 34117; 
pattern_count = 1; pattern_len = 11; net_len = 68; min_time = 42015; max_time = 43826; average_time = 42854; 
pattern_count = 1; pattern_len = 11; net_len = 73; min_time = 52250; max_time = 54472; average_time = 52790; 
pattern_count = 1; pattern_len = 11; net_len = 78; min_time = 63607; max_time = 65096; average_time = 64187; 
pattern_count = 1; pattern_len = 11; net_len = 83; min_time = 77220; max_time = 79118; average_time = 77884; 
