pattern_count = 1; pattern_len = 3; net_len = 5; min_time = 1; max_time = 2; average_time = 1; 
pattern_count = 1; pattern_len = 3; net_len = 10; min_time = 4; max_time = 6; average_time = 4; 
pattern_count = 1; pattern_len = 3; net_len = 15; min_time = 9; max_time = 33; average_time = 14; 
pattern_count = 1; pattern_len = 3; net_len = 20; min_time = 13; max_time = 32; average_time = 18; 
pattern_count = 1; pattern_len = 3; net_len = 25; min_time = 14; max_time = 48; average_time = 24; 
pattern_count = 1; pattern_len = 3; net_len = 30; min_time = 21; max_time = 44; average_time = 34; 
pattern_count = 1; pattern_len = 3; net_len = 35; min_time = 29; max_time = 75; average_time = 44; 
pattern_count = 1; pattern_len = 3; net_len = 40; min_time = 48; max_time = 142; average_time = 79; 
pattern_count = 1; pattern_len = 3; net_len = 45; min_time = 45; max_time = 80; average_time = 60; 
pattern_count = 1; pattern_len = 3; net_len = 50; min_time = 49; max_time = 88; average_time = 68; 
pattern_count = 1; pattern_len = 3; net_len = 55; min_time = 54; max_time = 117; average_time = 72; 
pattern_count = 1; pattern_len = 3; net_len = 60; min_time = 70; max_time = 164; average_time = 105; 
pattern_count = 1; pattern_len = 3; net_len = 65; min_time = 98; max_time = 177; average_time = 148; 
pattern_count = 1; pattern_len = 3; net_len = 70; min_time = 112; max_time = 224; average_time = 160; 
pattern_count = 1; pattern_len = 3; net_len = 75; min_time = 120; max_time = 235; average_time = 171; 
pattern_count = 1; pattern_len = 3; net_len = 80; min_time = 108; max_time = 149; average_time = 127; 
pattern_count = 1; pattern_len = 3; net_len = 85; min_time = 124; max_time = 162; average_time = 141; 
pattern_count = 1; pattern_len = 3; net_len = 90; min_time = 138; max_time = 191; average_time = 156; 
pattern_count = 1; pattern_len = 3; net_len = 95; min_time = 151; max_time = 239; average_time = 189; 
pattern_count = 1; pattern_len = 3; net_len = 100; min_time = 166; max_time = 224; average_time = 197; 

pattern_count = 1; pattern_len = 6; net_len = 5; min_time = 3; max_time = 4; average_time = 3; 
pattern_count = 1; pattern_len = 6; net_len = 10; min_time = 6; max_time = 8; average_time = 6; 
pattern_count = 1; pattern_len = 6; net_len = 15; min_time = 12; max_time = 20; average_time = 15; 
pattern_count = 1; pattern_len = 6; net_len = 20; min_time = 21; max_time = 42; average_time = 29; 
pattern_count = 1; pattern_len = 6; net_len = 25; min_time = 31; max_time = 49; average_time = 37; 
pattern_count = 1; pattern_len = 6; net_len = 30; min_time = 54; max_time = 67; average_time = 61; 
pattern_count = 1; pattern_len = 6; net_len = 35; min_time = 64; max_time = 93; average_time = 74; 
pattern_count = 1; pattern_len = 6; net_len = 40; min_time = 88; max_time = 139; average_time = 105; 
pattern_count = 1; pattern_len = 6; net_len = 45; min_time = 98; max_time = 143; average_time = 117; 
pattern_count = 1; pattern_len = 6; net_len = 50; min_time = 119; max_time = 193; average_time = 150; 
pattern_count = 1; pattern_len = 6; net_len = 55; min_time = 144; max_time = 228; average_time = 178; 
pattern_count = 1; pattern_len = 6; net_len = 60; min_time = 165; max_time = 254; average_time = 208; 
pattern_count = 1; pattern_len = 6; net_len = 65; min_time = 222; max_time = 323; average_time = 265; 
pattern_count = 1; pattern_len = 6; net_len = 70; min_time = 254; max_time = 353; average_time = 296; 
pattern_count = 1; pattern_len = 6; net_len = 75; min_time = 258; max_time = 565; average_time = 383; 
pattern_count = 1; pattern_len = 6; net_len = 80; min_time = 345; max_time = 402; average_time = 367; 
pattern_count = 1; pattern_len = 6; net_len = 85; min_time = 348; max_time = 447; average_time = 397; 
pattern_count = 1; pattern_len = 6; net_len = 90; min_time = 399; max_time = 892; average_time = 504; 
pattern_count = 1; pattern_len = 6; net_len = 95; min_time = 458; max_time = 1017; average_time = 610; 
pattern_count = 1; pattern_len = 6; net_len = 100; min_time = 509; max_time = 816; average_time = 625; 

pattern_count = 1; pattern_len = 9; net_len = 5; min_time = 9; max_time = 10; average_time = 9; 
pattern_count = 1; pattern_len = 9; net_len = 10; min_time = 10; max_time = 13; average_time = 11; 
pattern_count = 1; pattern_len = 9; net_len = 15; min_time = 20; max_time = 26; average_time = 23; 
pattern_count = 1; pattern_len = 9; net_len = 20; min_time = 35; max_time = 180; average_time = 71; 
pattern_count = 1; pattern_len = 9; net_len = 25; min_time = 56; max_time = 168; average_time = 96; 
pattern_count = 1; pattern_len = 9; net_len = 30; min_time = 77; max_time = 211; average_time = 134; 
pattern_count = 1; pattern_len = 9; net_len = 35; min_time = 144; max_time = 266; average_time = 206; 
pattern_count = 1; pattern_len = 9; net_len = 40; min_time = 144; max_time = 263; average_time = 186; 
pattern_count = 1; pattern_len = 9; net_len = 45; min_time = 203; max_time = 369; average_time = 290; 
pattern_count = 1; pattern_len = 9; net_len = 50; min_time = 212; max_time = 341; average_time = 255; 
pattern_count = 1; pattern_len = 9; net_len = 55; min_time = 286; max_time = 406; average_time = 319; 
pattern_count = 1; pattern_len = 9; net_len = 60; min_time = 312; max_time = 494; average_time = 383; 
pattern_count = 1; pattern_len = 9; net_len = 65; min_time = 347; max_time = 522; average_time = 421; 
pattern_count = 1; pattern_len = 9; net_len = 70; min_time = 397; max_time = 566; average_time = 488; 
pattern_count = 1; pattern_len = 9; net_len = 75; min_time = 490; max_time = 841; average_time = 608; 
pattern_count = 1; pattern_len = 9; net_len = 80; min_time = 564; max_time = 944; average_time = 746; 
